XY-ZDY;2015-09;8429;1
XY-IWX;2013-08;657;1
XY-ZWJ;2011-03;782;1
XY-IWX;2013-01;3859;1
XY-MBJ;2013-10;1683;1
XY-OZH;2010-08;4944;1
XY-MBJ;2013-09;3132;1
XY-IWX;2010-11;2959;1
XY-NHZ;2014-12;5428;1
XY-ZWJ;2015-12;1891;1
XY-ZWJ;2015-12;6756;1
XY-OFW;2014-04;8693;1
XY-NMY;2015-02;4402;1
XY-ZWJ;2014-06;9393;1
XY-ZWJ;2015-12;3370;1
XY-NMY;2015-06;738;1
XY-IWX;2016-05;2944;1
XY-ZWJ;2010-01;3504;1
XY-ZWJ;2012-11;3889;1
XY-MBJ;2011-06;2027;1
XY-ZDY;2010-07;3755;1
XY-NMY;2014-12;8639;1
XY-OZH;2016-05;5140;1
XY-FBA;2010-07;8090;1
XY-OFW;2010-11;8478;1
XY-OHF;2016-11;4509;1
XY-LYP;2014-12;7619;1
XY-IWX;2016-11;949;1
XY-IWX;2011-03;9887;1
XY-LYP;2013-09;333;1
XY-ZWJ;2016-11;8337;1
XY-ZDY;2016-11;1577;1
XY-MBJ;2014-12;1386;1
XY-ZWJ;2010-10;1710;1
XY-MBJ;2014-12;5753;1
XY-ZWJ;2014-08;4400;1
XY-MBJ;2016-11;7666;1
XY-MBJ;2016-07;4362;1
XY-IWX;2016-11;3952;1
XY-OFW;2011-08;1017;1
XY-NMY;2012-03;6699;1
XY-OZH;2012-02;9944;1
XY-NMY;2014-11;4271;1
XY-MBJ;2013-09;6247;1
XY-NMY;2014-12;5130;1
XY-OHF;2016-07;8018;1
XY-ZWJ;2014-12;2017;1
XY-ZWJ;2016-07;7843;1
XY-OHF;2013-10;4815;1
XY-FBA;2015-12;8286;1
XY-IWX;2013-10;9843;1
XY-FBA;2013-12;9769;1
XY-MBJ;2014-12;7732;1
XY-ZDY;2015-02;6987;2
XY-OFW;2011-07;6795;1
XY-YTM;2015-02;5147;1
XY-NMY;2012-11;6486;1
XY-IWX;2011-07;5228;1
XY-MBJ;2011-10;1421;1
XY-OFW;2013-04;8167;1
XY-ZDY;2015-06;3069;1
XY-LYP;2015-06;5445;1
XY-ZDY;2013-01;2723;1
XY-MBJ;2015-12;4442;2
XY-OZH;2014-12;4096;1
XY-OHF;2013-09;2456;1
XY-IWX;2011-10;6507;1
XY-IWX;2015-02;4576;1
XY-OHF;2013-09;7659;1
XY-OFW;2011-04;9117;1
XY-FBA;2011-08;4728;1
XY-ZWJ;2010-07;1379;1
XY-OZH;2014-12;5102;1
XY-NMY;2015-12;1003;1
XY-ZWJ;2015-02;6774;1
XY-IWX;2013-09;5926;1
XY-IOO;2013-10;8529;1
XY-OHF;2016-11;8042;1
XY-OFW;2010-06;4467;1
XY-MBJ;2011-07;3343;1
XY-ZDY;2016-05;6455;1
XY-ZDY;2016-11;4834;1
XY-OHF;2013-10;2884;1
XY-NMY;2015-12;7268;1
XY-MBJ;2016-02;7536;1
XY-OHF;2014-06;7868;1
XY-IWX;2013-09;5958;1
XY-MBJ;2012-02;0;1
XY-IWX;2011-07;1843;1
XY-OZH;2011-04;385;1
XY-ZWJ;2016-07;2812;1
XY-ZWJ;2015-11;9163;1
XY-IWX;2014-12;2854;1
XY-MBJ;2015-12;553;1
XY-MBJ;2010-10;576;1
XY-NMY;2015-12;1642;1
XY-OZH;2014-12;452;1
XY-NMY;2015-02;6336;1
XY-IWX;2011-07;8659;2
XY-OZH;2013-10;2388;1
XY-MBJ;2014-06;4533;1
XY-OZH;2014-12;8713;1
XY-OZH;2014-12;892;1
XY-ZDY;2015-02;2224;1
XY-ZWJ;2013-09;6171;1
XY-MBJ;2014-12;3536;1
XY-OFW;2011-07;2977;1
XY-NMY;2013-10;3366;1
XY-LYP;2013-09;2625;1
XY-ZWJ;2015-06;8265;1
XY-ZWJ;2015-02;9621;1
XY-ZWJ;2015-02;7730;1
XY-IWX;2012-10;4164;1
XY-ZWJ;2013-01;6715;1
XY-ZDY;2015-04;1958;1
XY-ZDY;2014-12;2844;1
XY-ZWJ;2014-06;2017;1
XY-OFW;2014-06;2155;1
XY-MBJ;2015-12;9086;1
XY-ZDY;2015-02;3221;1
XY-IWX;2015-02;538;1
